module,command_type,mvc_command_name,file
dynamic-data-mapping,action,/dynamic_data_mapping/delete_structure,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-web/src/main/java/com/liferay/dynamic/data/mapping/web/internal/portlet/action/DeleteStructureMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/upload_file_entry,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/UploadFileEntryMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/add_form_instance_record,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/AddFormInstanceRecordMVCActionCommand.java
dynamic-data-mapping,action,/admin/share_form_instance,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/ShareFormInstanceMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/save_structure,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/SaveStructureMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/export_form_instance,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/ExportFormInstanceMVCResourceCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/delete_file_entry,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/DeleteFileEntryMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/copy_form_instance,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/CopyFormInstanceMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/delete_form_instance_record,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/DeleteFormInstanceRecordMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/add_form_instance_record,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/AddFormInstanceRecordMVCResourceCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/get_form_report_data,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/GetFormReportDataMVCResourceCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/publish_form_instance,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/PublishFormInstanceMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/upload_ddm_user_personal_folder,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/UploadDDMUserPersonalFolderMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/get_form_records_field_values,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/GetFormRecordsFieldValuesMVCResourceCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/save_form_instance,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/SaveFormInstanceMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/delete_form_instance,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/DeleteFormInstanceMVCActionCommand.java
dynamic-data-mapping,action,/admin/autocomplete_user,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/AutocompleteUserMVCResourceCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/delete_structure,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/DeleteStructureMVCActionCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/download_file_entry,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/DownloadFileEntryMVCResourceCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/save_form_instance,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/SaveFormInstanceMVCResourceCommand.java
dynamic-data-mapping,action,/dynamic_data_mapping_form/validate_csrf_token,liferay-2026.q2.0/modules/apps/dynamic-data-mapping/dynamic-data-mapping-form-web/src/main/java/com/liferay/dynamic/data/mapping/form/web/internal/portlet/action/ValidateCSRFTokenMVCResourceCommand.java
portal-search,action,/portal_search_admin/edit,liferay-2026.q2.0/modules/apps/portal-search/portal-search-admin-web-test/src/testIntegration/java/com/liferay/portal/search/admin/web/internal/portlet/action/test/EditMVCActionCommandTest.java
portal-search,action,/portal_search_admin/edit,liferay-2026.q2.0/modules/apps/portal-search/portal-search-admin-web/src/main/java/com/liferay/portal/search/admin/web/internal/portlet/action/EditMVCActionCommand.java
portal-search,action,/portal_search/redirect_suggestions,liferay-2026.q2.0/modules/apps/portal-search/portal-search-web/src/main/java/com/liferay/portal/search/web/internal/suggestions/portlet/action/RedirectSuggestionsMVCActionCommand.java
ai-creator,action,/ai_creator_openai/get_generations,liferay-2026.q2.0/modules/apps/ai-creator/ai-creator-openai-web/src/main/java/com/liferay/ai/creator/openai/web/internal/portlet/action/GetGenerationsMVCResourceCommand.java
ai-creator,action,/ai_creator_openai/get_completion,liferay-2026.q2.0/modules/apps/ai-creator/ai-creator-openai-web/src/main/java/com/liferay/ai/creator/openai/web/internal/portlet/action/GetCompletionMVCResourceCommand.java
ai-creator,action,/site_settings/save_group_configuration,liferay-2026.q2.0/modules/apps/ai-creator/ai-creator-openai-web/src/main/java/com/liferay/ai/creator/openai/web/internal/portlet/action/SaveGroupConfigurationMVCActionCommand.java
ai-creator,action,/instance_settings/save_company_configuration,liferay-2026.q2.0/modules/apps/ai-creator/ai-creator-openai-web/src/main/java/com/liferay/ai/creator/openai/web/internal/portlet/action/SaveCompanyConfigurationMVCActionCommand.java
ai-creator,action,/ai_creator_openai/upload_generations,liferay-2026.q2.0/modules/apps/ai-creator/ai-creator-openai-web/src/main/java/com/liferay/ai/creator/openai/web/internal/portlet/action/UploadGenerationsMVCActionCommand.java
