query,extension,sink_file,sink_line
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","239"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","240"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","269"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","270"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","295"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","296"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","372"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","373"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","399"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","400"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","472"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/DirectMailUtility.php","473"
"SQL injection","azich_direct-mail","/azich_direct-mail/Classes/Module/Dmail.php","995"
"Unsafe deserialization","azich_direct-mail","/azich_direct-mail/Classes/Module/RecipientList.php","777"
"Server-side request forgery","autodudes_ai-suite-mcp","/autodudes_ai-suite-mcp/Classes/Mcp/Http/AiSuiteMcpEndpoint.php","94"
"Server-side request forgery","autodudes_ai-suite-mcp","/autodudes_ai-suite-mcp/Classes/Mcp/Http/AiSuiteMcpEndpoint.php","237"
"Path traversal","autodudes_ai-suite","/autodudes_ai-suite/Classes/Service/XliffService.php","71"
"Path traversal","azich_direct-mail","/azich_direct-mail/Classes/Dmailer.php","1011"
"Path traversal","azich_direct-mail","/azich_direct-mail/Classes/Importer.php","527"
"Path traversal","azich_direct-mail","/azich_direct-mail/Classes/Importer.php","528"
"Path traversal","azich_direct-mail","/azich_direct-mail/Classes/Importer.php","892"
"Path traversal","azich_direct-mail","/azich_direct-mail/Classes/Importer.php","931"
